Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","10752971","12486631","10694796","19542982","28189672","29249157","30466479","31541209","32716210","33753499","34636207","35643418","36686784","37769499","38972230"
"Population, total","SP.POP.TOTL","Albania","ALB","2135479","2671997","3286542","3089027","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837849"
"Population, total","SP.POP.TOTL","Algeria","DZA","13795915","18739378","25518074","30774621","35856344","36543541","37260563","38000626","38760168","39543154","40339329","41136546","41927007","42705368","43451666"
"Population, total","SP.POP.TOTL","American Samoa","ASM","27075","32886","47818","58230","54849","54310","53691","52995","52217","51368","50448","49463","48424","47321","46189"
"Population, total","SP.POP.TOTL","Andorra","AND","19860","35611","53569","66097","71519","70567","71013","71367","71621","71746","72540","73837","75013","76343","77700"
"Population, total","SP.POP.TOTL","Angola","AGO","6029700","8330047","11828638","16394062","23364185","24259111","25188292","26147002","27128337","28127721","29154746","30208628","31273533","32353588","33428486"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","64517","64889","63328","75055","85695","86729","87674","88497","89236","89941","90564","91119","91626","92117","92664"
"Population, total","SP.POP.TOTL","Argentina","ARG","23842803","28024803","32637657","37070774","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502","44938712","45376763"
"Population, total","SP.POP.TOTL","Armenia","ARM","2534377","3135123","3556539","3168523","2946293","2928976","2914421","2901385","2889930","2878595","2865835","2851923","2836557","2820602","2805608"
"Population, total","SP.POP.TOTL","Aruba","ABW","59106","62267","65712","89101","100341","101288","102112","102880","103594","104257","104874","105439","105962","106442","106585"
"Population, total","SP.POP.TOTL","Australia","AUS","12507000","14692000","17065128","19028802","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24592588","24963258","25334826","25649248"
"Population, total","SP.POP.TOTL","Austria","AUT","7467086","7549433","7677850","8011566","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864"
