Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","10752971","12486631","10694796","19542982","29249157","30466479","31541209","32716210","33753499","34636207","35643418","36686784","37769499","38972230","40099462"
"Population, total","SP.POP.TOTL","Albania","ALB","2135479","2671997","3286542","3089027","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837849","2811666"
"Population, total","SP.POP.TOTL","Algeria","DZA","13795915","18739378","25518074","30774621","36543541","37260563","38000626","38760168","39543154","40339329","41136546","41927007","42705368","43451666","44177969"
"Population, total","SP.POP.TOTL","American Samoa","ASM","27075","32886","47818","58230","54310","53691","52995","52217","51368","50448","49463","48424","47321","46189","45035"
"Population, total","SP.POP.TOTL","Andorra","AND","19860","35611","53569","66097","70567","71013","71367","71621","71746","72540","73837","75013","76343","77700","79034"
"Population, total","SP.POP.TOTL","Angola","AGO","6029700","8330047","11828638","16394062","24259111","25188292","26147002","27128337","28127721","29154746","30208628","31273533","32353588","33428486","34503774"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","64517","64889","63328","75055","86729","87674","88497","89236","89941","90564","91119","91626","92117","92664","93219"
"Population, total","SP.POP.TOTL","Argentina","ARG","23842803","28024803","32637657","37070774","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502","44938712","45376763","45808747"
"Population, total","SP.POP.TOTL","Armenia","ARM","2534377","3135123","3556539","3168523","2928976","2914421","2901385","2889930","2878595","2865835","2851923","2836557","2820602","2805608","2790974"
"Population, total","SP.POP.TOTL","Aruba","ABW","59106","62267","65712","89101","101288","102112","102880","103594","104257","104874","105439","105962","106442","106585","106537"
"Population, total","SP.POP.TOTL","Australia","AUS","12507000","14692000","17065128","19028802","22340024","22733465","23128129","23475686","23815995","24190907","24592588","24963258","25334826","25649248","25685412"
"Population, total","SP.POP.TOTL","Austria","AUT","7467086","7549433","7677850","8011566","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864","8955797"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","5172050","6160500","7175200","8048600","9173082","9295784","9416801","9535079","9649341","9757812","9854033","9939771","10024283","10093121","10137750"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","179129","223752","270679","325014","377950","382061","385650","389131","392697","395976","399020","401906","404557","406471","407906"
"Population, total","SP.POP.TOTL","Bahrain","BHR","222555","362595","517418","711442","1212077","1224939","1261673","1311134","1362142","1409661","1456834","1487340","1494188","1477469","1463265"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","67541860","83929765","107147651","129193327","150211005","152090649","154030139","155961299","157830000","159784568","161793964","163683958","165516222","167420951","169356251"
"Population, total","SP.POP.TOTL","Barbados","BRB","241397","253575","258868","264657","275486","276197","276865","277493","278083","278649","279187","279688","280180","280693","281200"
"Population, total","SP.POP.TOTL","Belarus","BLR","9040000","9643000","10189348","9979610","9461643","9446836","9443211","9448515","9461076","9469379","9458989","9438785","9419758","9379952","9302585"
"Population, total","SP.POP.TOTL","Belgium","BEL","9655549","9859242","9967379","10251250","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11427054","11488980","11538604","11586195"
"Population, total","SP.POP.TOTL","Belize","BLZ","120905","145133","182589","240406","329538","337059","344688","352335","359871","367313","374693","382066","389095","394921","400031"
