Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"Population, total","SP.POP.TOTL","Afghanistan","AFG","10752971","12486631","10694796","19542982","28189672","29249157","30466479","31541209","32716210","33753499","34636207","35643418","36686784","37769499","38972230","40099462"
"Population, total","SP.POP.TOTL","Albania","ALB","2135479","2671997","3286542","3089027","2913021","2905195","2900401","2895092","2889104","2880703","2876101","2873457","2866376","2854191","2837849","2811666"
"Population, total","SP.POP.TOTL","Algeria","DZA","13795915","18739378","25518074","30774621","35856344","36543541","37260563","38000626","38760168","39543154","40339329","41136546","41927007","42705368","43451666","44177969"
"Population, total","SP.POP.TOTL","American Samoa","ASM","27075","32886","47818","58230","54849","54310","53691","52995","52217","51368","50448","49463","48424","47321","46189","45035"
"Population, total","SP.POP.TOTL","Andorra","AND","19860","35611","53569","66097","71519","70567","71013","71367","71621","71746","72540","73837","75013","76343","77700","79034"
"Population, total","SP.POP.TOTL","Angola","AGO","6029700","8330047","11828638","16394062","23364185","24259111","25188292","26147002","27128337","28127721","29154746","30208628","31273533","32353588","33428486","34503774"
"Population, total","SP.POP.TOTL","Antigua and Barbuda","ATG","64517","64889","63328","75055","85695","86729","87674","88497","89236","89941","90564","91119","91626","92117","92664","93219"
"Population, total","SP.POP.TOTL","Argentina","ARG","23842803","28024803","32637657","37070774","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502","44938712","45376763","45808747"
"Population, total","SP.POP.TOTL","Armenia","ARM","2534377","3135123","3556539","3168523","2946293","2928976","2914421","2901385","2889930","2878595","2865835","2851923","2836557","2820602","2805608","2790974"
"Population, total","SP.POP.TOTL","Aruba","ABW","59106","62267","65712","89101","100341","101288","102112","102880","103594","104257","104874","105439","105962","106442","106585","106537"
"Population, total","SP.POP.TOTL","Australia","AUS","12507000","14692000","17065128","19028802","22031750","22340024","22733465","23128129","23475686","23815995","24190907","24592588","24963258","25334826","25649248","25685412"
"Population, total","SP.POP.TOTL","Austria","AUT","7467086","7549433","7677850","8011566","8363404","8391643","8429991","8479823","8546356","8642699","8736668","8797566","8840521","8879920","8916864","8955797"
"Population, total","SP.POP.TOTL","Azerbaijan","AZE","5172050","6160500","7175200","8048600","9054332","9173082","9295784","9416801","9535079","9649341","9757812","9854033","9939771","10024283","10093121","10137750"
"Population, total","SP.POP.TOTL","Bahamas, The","BHS","179129","223752","270679","325014","373272","377950","382061","385650","389131","392697","395976","399020","401906","404557","406471","407906"
"Population, total","SP.POP.TOTL","Bahrain","BHR","222555","362595","517418","711442","1213645","1212077","1224939","1261673","1311134","1362142","1409661","1456834","1487340","1494188","1477469","1463265"
"Population, total","SP.POP.TOTL","Bangladesh","BGD","67541860","83929765","107147651","129193327","148391139","150211005","152090649","154030139","155961299","157830000","159784568","161793964","163683958","165516222","167420951","169356251"
"Population, total","SP.POP.TOTL","Barbados","BRB","241397","253575","258868","264657","274711","275486","276197","276865","277493","278083","278649","279187","279688","280180","280693","281200"
"Population, total","SP.POP.TOTL","Belarus","BLR","9040000","9643000","10189348","9979610","9483836","9461643","9446836","9443211","9448515","9461076","9469379","9458989","9438785","9419758","9379952","9302585"
"Population, total","SP.POP.TOTL","Belgium","BEL","9655549","9859242","9967379","10251250","10895586","11038264","11106932","11159407","11209057","11274196","11331422","11375158","11427054","11488980","11538604","11586195"
"Population, total","SP.POP.TOTL","Belize","BLZ","120905","145133","182589","240406","322106","329538","337059","344688","352335","359871","367313","374693","382066","389095","394921","400031"
"Population, total","SP.POP.TOTL","Benin","BEN","3023443","3833939","5133419","6998023","9445710","9726380","10014078","10308730","10614844","10932783","11260085","11596779","11940683","12290444","12643123","12996895"
"Population, total","SP.POP.TOTL","Bermuda","BMU","55000","54670","59326","61833","65124","64564","64798","65001","65138","65237","64554","63873","63918","63911","63893","63764"
"Population, total","SP.POP.TOTL","Bhutan","BTN","298894","415257","558442","587207","705516","713331","721145","728889","736357","743274","749761","756121","762096","767459","772506","777486"
"Population, total","SP.POP.TOTL","Bolivia","BOL","4585693","5736088","7096194","8592656","10223270","10396246","10569697","10743349","10916987","11090085","11263015","11435533","11606905","11777315","11936162","12079472"
"Population, total","SP.POP.TOTL","Bosnia and Herzegovina","BIH","3815561","4199820","4494310","4179350","3811088","3743142","3674374","3617559","3571068","3524324","3480986","3440027","3400129","3360711","3318407","3270943"
"Population, total","SP.POP.TOTL","Botswana","BWA","592244","938578","1341474","1726985","2091664","2134037","2175425","2217278","2260376","2305171","2352416","2401840","2451409","2499702","2546402","2588423"
"Population, total","SP.POP.TOTL","Brazil","BRA","96369875","122288383","150706446","175873720","196353492","198185302","199977707","201721767","203459650","205188205","206859578","208504960","210166592","211782878","213196304","214326223"
"Population, total","SP.POP.TOTL","British Virgin Islands","VGB","9581","11109","15617","20104","27556","27962","28421","28657","28971","29366","29739","30060","30335","30610","30910","31122"
"Population, total","SP.POP.TOTL","Brunei Darussalam","BRN","133343","187921","261928","333926","396053","401506","406634","411702","416656","421437","425994","430276","434274","438048","441725","445373"
"Population, total","SP.POP.TOTL","Bulgaria","BGR","8489574","8861535","8718289","8170172","7395599","7348328","7305888","7265115","7223938","7177991","7127822","7075947","7025037","6975761","6934015","6877743"
